,"Paris","Bruxelles","Amsterdam","Rome","Berlin","Madrid","Lisbonne","Prague","Dublin","Vienne","Copenhague","Varsovie","Zagreb","Budapest","Bucarest","Sofia","Athenes","Vilnius","Riga","Oslo","Helsinki"
"Paris",0,389,185,19,216,28,123,194,174,228,233,221,203,264,202,74,231,275,300,187,307
"Bruxelles",389,0,223,166,183,96,204,225,190,209,313,182,207,216,184,284,67,253,346,217,388
"Amsterdam",185,223,0,126,163,112,187,159,133,156,195,242,234,228,222,289,222,328,313,550,252
"Rome",19,166,126,0,311,65,210,191,182,183,198,181,232,152,31,168,207,368,358,151,303
"Berlin",216,183,163,311,0,32,231,229,182,218,153,146,222,191,187,209,97,266,155,126,244
"Madrid",28,96,112,65,32,0,79,172,21,183,226,238,196,259,100,121,231,126,299,185,227
"Lisbonne",123,204,187,210,231,79,0,378,240,220,313,238,232,275,242,400,161,304,269,251,492
"Prague",194,225,159,191,229,172,378,0,249,195,323,278,246,259,212,323,223,277,570,193,255
"Dublin",174,190,133,182,182,21,240,249,0,234,136,234,236,210,209,39,242,300,291,173,206
"Vienne",228,209,156,183,218,183,220,195,234,0,254,100,231,231,266,200,198,345,535,250,248
"Copenhague",233,313,195,198,153,226,313,323,136,254,0,178,231,241,67,164,218,292,323,223,177
"Varsovie",221,182,242,181,146,238,238,278,234,100,178,0,311,148,248,468,238,221,197,202,191
"Zagreb",203,207,234,232,222,196,232,246,236,231,231,311,0,218,204,512,198,669,409,187,214
"Budapest",264,216,228,152,191,259,275,259,210,231,241,148,218,0,230,191,198,515,453,220,270
"Bucarest",202,184,222,31,187,100,242,212,209,266,67,248,204,230,0,192,236,674,532,150,212
"Sofia",74,284,289,168,209,121,400,323,39,200,164,468,512,191,192,0,242,367,299,192,479
"Athenes",231,67,222,207,97,231,161,223,242,198,218,238,198,198,236,242,0,319,299,225,230
"Vilnius",275,253,328,368,266,126,304,277,300,345,292,221,669,515,674,367,319,0,107,192,320
"Riga",300,346,313,358,155,299,269,570,291,535,323,197,409,453,532,299,299,107,0,228,144
"Oslo",187,217,550,151,126,185,251,193,173,250,223,202,187,220,150,192,225,192,228,0,117
"Helsinki",307,388,252,303,244,227,492,255,206,248,177,191,214,270,212,479,230,320,144,117,0
